Subject Code,Subject Name,Course Code,Course Name,Course Description,Course Units,Prerequisites
MGV,Management; Online (MGV),MGV 252V,Managing for Operational Excellence,"Explore the management of operations as applied to manufacturing, as well as services provided both inside & outside the organization. Develop an understanding of how uncertainty affects planning & delivery by looking at fundamental models of operations.",4 units,"MGV 203AV, MGV 403AV"
MGV,Management; Online (MGV),MGV 253V,Corporate Social Responsibility,"Develop a thought process and approach to corporate social responsibility that students will be able to build on during their post-school leadership roles, whether as corporate executives, entrepreneurs, or NGO leaders.",4 units,None
MGV,Management; Online (MGV),MGV 254V,Marketing Analytics,"Several econometric models commonly used in marketing practice. How data and models can be used to answer questions, generate forecasts, and make decisions.",4 units,MGV 203AV
MGV,Management; Online (MGV),MGV 255V,Entrepreneurship Clinic,"Provides the necessary analytical and design tools to create business ideas and refine business models based on emerging technologies. Students learn to work closely in small teams to synthesize technical, strategic, and marketing needs into designs for new ventures.",4 units,None
MGV,Management; Online (MGV),MGV 258V,Mergers & Acquisitions,"Focuses on the market for corporate acquisitions and restructuring activity. Topics include: sources of value creation; takeovers; anti-takeover provisions; bidding strategies; use of leverage in buyouts; regulatory risk and hurdles; and, valuation approaches for highly leveraged transactions.",4 units,MGV 205V
MGV,Management; Online (MGV),MGV 259V,Banking & the Financial System,Analyzes the role of financial markets and institutions in allocating capital. Focuses on: bank lending; debt securities; financial market innovations; regulation; functions of commercial banks and other financial intermediaries. Utilizes case studies.,4 units,MGV 205V
MGV,Management; Online (MGV),MGV 260V,Corporate Finance,"Planning, acquiring, and managing a company's financial resources. Financial aspects of mergers and other forms of reorganization; analysis of investment, financial, and dividend policy; and theories of optimal capital structure.",4 units,"MGV 200AV, MGV 202AV, MGV 205V"
MGV,Management; Online (MGV),MGV 261V,Investment Analysis,"Examines asset pricing theories and relevant evidence, including the investment performance of stocks and bonds. Topics include the efficiency of markets, domestic and international portfolio diversification, factors influencing the value of stocks and other investments, and portfolio management and performance.",4 units,"MGV 203AV, MGV 205V"
MGV,Management; Online (MGV),MGV 263V,Derivative Securities,"Behavior of options, futures, and other derivative securities markets and how public agencies, business and others use those markets. Trading strategies involving options, swaps, and financial futures contracts. Pricing of derivative securities, primarily by arbitrage methods.",4 units,"MGV 203AV, MGV 205V"
MGV,Management; Online (MGV),MGV 264V,Business Taxation,"Analysis of the impact of business taxation on investment, production, and finance decisions. Relationship between business organization and tax liability. Not intended for tax specialists.",4 units,MGV 200AV
MGV,Management; Online (MGV),MGV 265V,Technology Finance & Valuation,Examines venture capital finance and the related practice of R&D finance. Goal is to apply finance tools and framework to the world of venture capital and financing of projects in high-growth industries.,4 units,MGV 205V
MGV,Management; Online (MGV),MGV 267V,Teams & Technology,"Theory and practice of managing teams with primary goals of: providing conceptual guidelines for analyzing and diagnosing group dynamics and determining strategic options as a manager, imparting interpersonal skills for implementing effective strategies, understanding how technological change affects team processes.",4 units,None
MGV,Management; Online (MGV),MGV 268V,Articulation & Critical Thinking,"Public speaking, business writing, efficient and critical thinking about business challenges, and defining a personal code of ethics to shape actions and decisions.",4 units,None
MGV,Management; Online (MGV),MGV 269V,Data Mining,"Descriptive and Predictive Data mining methods covering association rules, clustering, classification, text mining, etc. Big data Technologies. Business applications. Hands-on data mining skills. Business intelligence for managerial decision making.",4 units,MGV 203BV
MGV,Management; Online (MGV),MGV 270V,Corporate Financial Reporting,"Analyzes and evaluates contemporary issues in financial reporting and develops implications of those issues for business decision makers, investment managers, and accounting policymakers.",4 units,MGV 200AV
MGV,Management; Online (MGV),MGV 272V,Evaluation of Financial Information,"Studies how investors, creditors, others use accounting and other information in making rational investment, lending decisions. Emphasis is placed on the analysis of financial information in a variety of contexts. Where applicable, recent research in finance and economics is discussed.",4 units,MGV 200AV
MGV,Management; Online (MGV),MGV 276V,"Real Estate, Finance & Development","Focus on single family, attached, detached, multi-family, and light commercial development. Study factors that make up successful real estate developments. Consider financial aspects involved in land acquisition, land development, construction, and project lending.",4 units,"MGV 205V, MGV 201AV"
MGV,Management; Online (MGV),MGV 282V,Supply Chain Management,"Matching supply with demand is a primary challenge for a firm: excess supply is too costly, inadequate supply irritates customers. Matching supply to demand is easiest when a firm has a flexible supply process, but flexibility is generally expensive.",4 units,MGV 204V
MGV,Management; Online (MGV),MGV 285V,Time Series Analysis & Forecasting,"Consider application of time series methods to evaluation & forecasting problems. Covers univariate & multivariate ARIMA models and transfer function models. Applications in such areas as economics, finance, budgeting, program evaluation, and industrial process control.",4 units,None
MGV,Management; Online (MGV),MGV 287V,Business Database & Database Marketing,"Practical introduction to fundamental principles of database management systems and database marketing. Database design. SQL queries. Concepts of database marketing, data warehouse, data visualization and big data analytics.",4 units,Graduate standing in the Graduate School of Management or consent of instructor required.
MGV,Management; Online (MGV),MGV 290V,Topics in General Management,"Advanced topics in general management. Varied topics to cover more extensively issues discussed in MGV 201AV and MGV 201BV, or current business interest topics in fields of business writing, business communications, development, or workplace processes.",4 units,None
MGV,Management; Online (MGV),MGV 297V,Topics in International Management,"International environment in which U.S. firms and their foreign competitors operate. May integrate topics in marketing, strategy, finance, accounting, information technology, or technology management in an international context.",4 units,Graduate standing in the Graduate School of Management or consent of instructor required.
MGV,Management; Online (MGV),MGV 400AV,Financial Accounting,"Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation’s operations.",4 units,MGV 438V
MGV,Management; Online (MGV),MGV 401AV,The Individual & Group Dynamics,"Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",4 units,None
MGV,Management; Online (MGV),MGV 401BV,Organizational Strategy & Structure,"Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",4 units,None
MGV,Management; Online (MGV),MGV 402AV,Markets & The Firm,"Examines the interaction of consumers, firms and government, and the effect this interaction has on the use of resources and firm profitability. Fundamental economic concepts such as marginal analysis, opportunity cost, pricing, and externalities are introduced and applied.",4 units,None
MGV,Management; Online (MGV),MGV 403AV,Data Analysis for Managers,"Introduction to statistics and data analysis for managerial decision making. Descriptive statistics, principles of data collection, sampling, quality control, statistical inference. Application of data analytic methods to problems in marketing, finance, accounting, production, operations, and public policy.",4 units,MGV 438V
MGV,Management; Online (MGV),MGV 404V,Marketing Management,"Analysis of market opportunities, elements of market research, development of marketing strategies, market planning and implementations, and control systems. Consumer and industrial markets, market segmentation, pricing strategies, distribution channels, promotion, and sales.",4 units,None
MGV,Management; Online (MGV),MGV 405V,Financial Theory & Policy,"Corporate financial policy and investment management. Covers capital budgeting, optimal financial structure, cost-of-capital determination, risk measurement. Develops basic valuation principles for investments with long-lived and risky cash-flows, and extends these to derivative securities, asset portfolios, investment management and hedging.",4 units,None
MGV,Management; Online (MGV),MGV 438V,Quantitative Tools for Business,"Quantitative analysis and business storytelling through practical quantitative frameworks, descriptive procedures and real life case studies.",4 units,None
MGV,Management; Online (MGV),MGV 440V,Integrated Management Project,"Examines the scope of missions, objectives strategies, policies, structures, measurements and incentives which bear on the management of an organization. Simulated organizations in the private and public sectors, are assigned to student teams as the subjects of study.",4 units,First-year core courses of online MBA program.
MGV,Management; Online (MGV),MGV 445V,Product Management,"Overview of the requirements, issues, and tools involved in marketing of products and services via lectures, case studies, and a hands-on, quarter-long competitive simulation.",4 units,MGV 204V
MGV,Management; Online (MGV),MGV 452V,Managing for Operational Excellence,"Explore the management of operations as applied to manufacturing, as well as services provided both inside & outside the organization. Develop an understanding of how uncertainty affects planning & delivery by looking at fundamental models of operations.",4 units,None
MGV,Management; Online (MGV),MGV 468V,Articulation & Critical Thinking,"Public speaking, business writing, efficient and critical thinking about business challenges, and defining a personal code of ethics to shape actions and decisions.",4 units,None
MGV,Management; Online (MGV),MGV 469V,Machine Learning with Python,"This version has ended; see updated course, below.Course Description: Introduction to Machine Learning methods covering association rules, clustering, classification, and numeric prediction. Hands-on Machine Learning skills with Python. Big data technologies. Business applications.",4 units,MGV 203AV
MGV,Management; Online (MGV),MGV 475V,R & SQL for Business Analytics,Introduces programming concepts and how they can be applied to derive insights from data and make management decisions.,4 units,None
MGV,Management; Online (MGV),MGV 490A,Topics in Management,"Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such as business writing, management, organizational behavior, business communications, development, and workplace processes.",2 units,None
MGV,Management; Online (MGV),MGV 490AV,Topics in Management,"Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such business writing, management, organizational behavior, business communications, development, and workplace processes.",2 units,None
MGV,Management; Online (MGV),MGV 490BV,Topics in Management–Extended,"Extended topics in general management. Varied topics to cover more extensively; management, organizational behavior, finance, marketing, accounting and business analytics.",4 units,None
MGP,Management; Working Professional (MGP),MGP 200A,Financial Accounting,"Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation's operations.",3 units,Graduate student in the Graduate School of Management.
MGP,Management; Working Professional (MGP),MGP 200B,Managerial Accounting,"Information managers should know to be effective, including: product costing, motivating people, and differential analysis for decision making. Includes team projects and written and oral presentations.",3 units,"MGT 200A, MGB 200A, MGP 200A"
MGP,Management; Working Professional (MGP),MGP 201A,The Individual & Group Dynamics,"Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",3 units,Graduate student in the Graduate School of Management.
MGP,Management; Working Professional (MGP),MGP 201B,Organizational Strategy & Structure,"Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",3 units,Completion of first year courses in Graduate School of Management or equivalent.
MGP,Management; Working Professional (MGP),MGP 202A,Markets & the Firm,"Examines the interaction of consumers, firms and government, and the effect this interaction has on the use of resources and firm profitability. Fundamental economic concepts such as marginal analysis, opportunity cost, pricing, and externalities are introduced and applied.",3 units,Graduate student in the Graduate School of Management.
MGP,Management; Working Professional (MGP),MGP 202B,"Business, Government, & the International Economy","Examines the influence of government and international factors on business. Topics include distribution of income, business cycles, inflation and interest rates, the federal debt, monetary policy and international trade and finance.",3 units,"MGP 202A, MGT 202A, MGV 202AV"
MGP,Management; Working Professional (MGP),MGP 203A,Data Analysis for Managers,"Introduction to statistics and data analysis for managerial decision making. Descriptive statistics, principles of data collection, sampling, quality control, statistical inference. Application of data analytic methods to problems in marketing, finance, accounting, production, operations, and public policy.",3 units,Graduate student in the Graduate School of Management MBA program or consent of instructor.
MGP,Management; Working Professional (MGP),MGP 203B,Forecasting & Managerial Research Methods,"Practical statistical methods for managerial decision making covers regression analysis, time series analysis and forecasting, design and analysis of experiments in managerial research and contingency table analysis. Application of these methods to marketing, finance, accounting, production, operations, and public policy.",3 units,"MGP 203A, MGT 203A, MGB 203A"
MGP,Management; Working Professional (MGP),MGP 204,Marketing Management,"Analysis of market opportunities, elements of market research, development of marketing strategies, market planning and implementations, and control systems. Consumer and industrial markets, market segmentation, pricing strategies, distribution channels, promotion, and sales.",3 units,Graduate student in the Graduate School of Management.
MGP,Management; Working Professional (MGP),MGP 205,Financial Theory & Policy,"Corporate financial policy and investment management. Covers capital budgeting, optimal financial structure, cost-of-capital determination, risk measurement. Develops basic valuation principles for investments with long-lived and risky cash-flows, and extends these to derivative securities, asset portfolios, investment management and hedging.",3 units,Graduate student in the Graduate School of Management.
MGP,Management; Working Professional (MGP),MGP 206,Decision Making & Management Science,"Develops decision-making and problem-solving skills in conjunction with a quantitative model-building approach. Emphasizes how structured modeling techniques, probability forecasts, simulations, and computer optimization models are used in the overall process of making decisions in an uncertain environment.",3 units,Graduate student in the Graduate School of Management MBA program or consent of instructor.
MGP,Management; Working Professional (MGP),MGP 207,Management Information Systems,"Introduction to computer programming and data handling skills. Use of computer in organizations, emphasis on managerial aspects of computing. Standard and nonstandard uses of data files, centralization versus decentralization of computing, office automation, computer security.",3 units,Graduate student or consent of instructor.
MGP,Management; Working Professional (MGP),MGP 215,Business Law,"Introduction to law and legal process in the United States. Sources of law. Structure and operation of courts, federal-state relationships, fundamentals of administrative law, fundamentals of business law.",3 units,Completion of administration core requirements or petition with consent of instructor.
MGP,Management; Working Professional (MGP),MGP 216,"Managing Professionals, Budgets, Controls & Ethics","Performance measures, budgetary controls and ethical pressures which occur at middle management levels in service-type operations. Addresses such organizations as engineering, medical groups, law offices, management consultants.",3 units,Graduate standing.
MGP,Management; Working Professional (MGP),MGP 220,Management of Social Networks,"Principles and applications of social network theory: coordinating divergent interests to create value for individuals and organizations. Emphasis on conceptual models, web-based diagnostic tools, and practical applications.",3 units,MGP 201A
MGP,Management; Working Professional (MGP),MGP 223,Power & Influence in Management,"Investigation of the bases of power in organizations and the tactics used to translate power into influence. Topics include the control of resources (including information), social psychological processes (including commitment), the construction of meaning, and ethics.",3 units,"MGT 201A, MGB 201A, MGP 201A"
MGP,Management; Working Professional (MGP),MGP 224,Managing People in High-Performance Organizations,"Strategic approach to the management of people within organization. Analyze employment systems' fit with firms' environments and strategies. Explore consequences of choices firms make in managing people; decisions as to selection, performance evaluation, compensation, and other management policies and practices.",3 units,"MGT 201A, MGB 201A, MGP 201A"
MGP,Management; Working Professional (MGP),MGP 234,Pricing,"Combines lectures, cases and homework to teach students tools and skills necessary to analyze pricing situations, make pricing decisions, and implement them, in a systematic manner.",3 units,"MGT 204, MGB 204, MGP 204"
MGP,Management; Working Professional (MGP),MGP 239,Digital Marketing,"Equips students for a career in digital marketing and social media. Topics include online advertising, search engine optimization, interactive mktg, online privacy issues, e-commerce, social influence, social network theory, measurement of social influence, integrating social and traditional media.",3 units,"MGP 204, MGT 204, MGB 204"
MGP,Management; Working Professional (MGP),MGP 240,Management Policy & Strategy,"Examines the scope of missions, objectives strategies, policies, structures, measurements and incentives which bear on the management of an organization. Real client organizations, in the private and public sectors, are assigned to student teams as the subjects of study.",3 units,First-year core courses of M.B.A. program.
MGP,Management; Working Professional (MGP),MGP 241,New Product Development,State-of-the-art concepts and methods to enhance the effectiveness of new product development activities. Focuses on the understanding of managerial issues and acquiring the ability to solve problems.,3 units,"MGT 204, MGB 204, MGP 204"
MGP,Management; Working Professional (MGP),MGP 242,Marketing Communications,"Issues in designing a marketing communications strategy. Topics include mass and direct communications, institutional aspects of advertising, consumer behavior, evaluating ad effectiveness, determining ad budget, creative strategy, and use and abuse of promotions.",3 units,None
MGP,Management; Working Professional (MGP),MGP 243,Customer Relationship Management,"Customer Relationship Management (CRM) is a management approach under which marketing activities are organized and measured around customers (rather than around brands.) This approach is appealing because customers, not brands, are those who make buying decisions.",3 units,"MGT 204, MGP 204, MGB 204"
MGP,Management; Working Professional (MGP),MGP 244,New & Small Business Ventures,"Student teams develop complete business plans for their own start-up ventures. Process includes: elevator pitch, business strategy, comprehensive bottoms-up financial projections, capital requirements, product differentiation, competitive, alliance, and go-to-market strategy development, investor presentation, and comprehensive written business plan.",3 units,"MGT 204, MGB 204, MGP 204"
MGP,Management; Working Professional (MGP),MGP 245,Business Writing,"Techniques for sharpening writing skills are introduced, along with grammatical structure, word choice, and punctuation. Learn to develop styles that are pitch-perfect for given situations and to think strategically about each communication challenge in a management setting.",3 units,Completion of first-year core courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 246,Negotiation & Team Building,"Basic theory of negotiation; applies theory to process of building teams to achieve business purposes. Covers integrative and distributive strategies of claiming value, how to recognize bargaining tricks, uncovering hidden agendas, brainstorming to extend Pareto frontier.",3 units,MGP 205
MGP,Management; Working Professional (MGP),MGP 247,Customer Service as a Marketing Tool,"Understanding the distinct features of services, how to create value through service, methods of building strong relationships with customers, methods of measuring and building customer satisfaction, and measuring the financial impact of service improvement.",3 units,None
MGP,Management; Working Professional (MGP),MGP 248,Marketing Strategies,"Examines process by which organizations develop strategic marketing plans. Includes definition of activities and products, marketing audits, appraising market opportunities, design of new activities and products, and organizing marketing planning function. Applications to problems in private and public sector marketing.",3 units,"MGT 202A, MGV 202AV, MGP 202A, MGP 204, MGB 204, MGT 204"
MGP,Management; Working Professional (MGP),MGP 249,Marketing Research,"Addresses the managerial issues and problems of systematically gathering and analyzing information for making private and public marketing decisions. Covers the cost and value of information, research design, information collection, measuring instruments, data analysis, and marketing research applications.",3 units,"MGT 202A, MGV 202AV, MGP 202A, MGP 203A, MGB 203A, MGT 203A, MGT 204, MGB 204, MGP 204"
MGP,Management; Working Professional (MGP),MGP 250,"Technology, Competition & Strategy","Why is software typically so defective? Why do many firms in the IT industry give away their best products free? Helps analyze questions like these by modeling competition and strategy in the network, technology and information industries.",3 units,"MGT 202A, MGV 202AV, MGP 202A, MGP 203A, MGB 203A, MGT 203A"
MGP,Management; Working Professional (MGP),MGP 251,Management of Innovation,"Managing innovative enterprise in changing and uncertain environments. Covers technology forecasting and assessment, program selection and control, financial management, regulation, and ethics.",3 units,"MGT 201A, MGB 201A, MGP 201A"
MGP,Management; Working Professional (MGP),MGP 252,Managing for Operational Excellence,Explores the management of operations as applied to manufacturing as well as services provided both inside and outside the organization. Develop an understanding of how uncertainty affects planning and delivery by looking at fundamental models of operations.,3 units,"MGP 203A, MGB 203A, MGT 203A"
MGP,Management; Working Professional (MGP),MGP 253,Corporate Social Responsibility,"Develop a thought process and approach to corporate social responsibility that students will be able to build on during their post-school leadership roles, whether as corporate executives, entrepreneurs, or NGO leaders.",3 units,None
MGP,Management; Working Professional (MGP),MGP 255,Entrepreneurship & Venture Investment Clinic,"Provides the necessary analytical and design tools to create business ideas and refine business models based on emerging technologies. Students learn to work closely in small teams to synthesize technical, strategic, and marketing needs into designs for new ventures.",3 units,None
MGP,Management; Working Professional (MGP),MGP 258,Mergers & Acquisitions,"Focuses on the market for corporate acquisitions and restructuring activity. Topics include: sources of value creation; takeovers; anti-takeover provisions; bidding strategies; use of leverage in buyouts; regulatory risk and hurdles; and, valuation approaches for highly leveraged transactions.",3 units,"MGP 205, MGT 205, MGB 205"
MGP,Management; Working Professional (MGP),MGP 259,Banking & the Financial System,Analyzes the role of financial markets and institutions in allocating capital. Focuses on: bank lending; debt securities; financial market innovations; regulation; functions of commercial banks and other financial intermediaries. Utilizes case studies.,3 units,"MGB 205, MGT 205"
MGP,Management; Working Professional (MGP),MGP 260,Corporate Finance,"Focuses on planning, acquiring, and managing a company's financial resources. Includes discussion of financial aspects of mergers and other forms of reorganization; analysis of investment, financial, and dividend policy; and theories of optimal capital structure.",3 units,"MGT 200A, MGB 200A, MGP 200A, MGP 202A, MGV 202AV, MGT 202A, MGT 205, MGB 205, MGP 205"
MGP,Management; Working Professional (MGP),MGP 261,Investment Analysis,"Examines asset pricing theories and relevant evidence, including the investment performance of stocks and bonds. Topics include the efficiency of markets, domestic and international portfolio diversification, factors influencing the value of stocks and other investments, and portfolio management and performance.",3 units,"MGT 203A, MGP 203A, MGB 203A, MGB 205, MGT 205, MGP 205"
MGP,Management; Working Professional (MGP),MGP 262,Money & Security Markets,"Examines how money and securities markets are organized; how public agencies, businesses, others obtain and invest funds in those markets. Relationship between interest rates, monetary policy, government's role in improving capital markets, approaches to assessing changes in regulation of specific markets.",3 units,None
MGP,Management; Working Professional (MGP),MGP 263,Derivative Securities,"Behavior of options, futures, and other derivative securities markets and how public agencies, business and others use those markets. Trading strategies involving options, swaps, and financial futures contracts. Pricing of derivative securities, primarily by arbitrage methods.",3 units,"MGT 205, MGP 205, MGB 205, MGT 203A, MGP 203A, MGB 203A"
MGP,Management; Working Professional (MGP),MGP 264,Business Taxation,"Analysis of the impact of business taxation on investment, production, and finance decisions. Discussion of the relationship between business organization and tax liability. Not intended for tax specialists.",3 units,None
MGP,Management; Working Professional (MGP),MGP 265,Technology Finance & Valuation,Venture capital finance and the related practice of research and development finance. Application of finance tools and framework to the world of venture capital and financing of projects in high-growth industries.,3 units,"MGB 205, MGP 205, MGT 205"
MGP,Management; Working Professional (MGP),MGP 266,International Finance,Studies fixed and floating exchange-rate systems. Topics include determinants of a nation's balance of international payments; macroeconomic interdependence of nations under various exchange-rate regimes and its implications for domestic stabilization policies; and the international coordination of monetary and stabilization policies.,3 units,"MGT 205, MGB 205, MGP 205"
MGP,Management; Working Professional (MGP),MGP 267,Teams & Technology,Theory and practice of managing teams with primary goals of: providing conceptual guidelines for analyzing and diagnosing group dynamics and determining strategic options as a manager; imparting interpersonal skills for implementing effective strategies; understanding how technological change affects team processes.,3 units,Consent of instructor.
MGP,Management; Working Professional (MGP),MGP 268,Articulation & Critical Thinking,"With commitment to this course, students will become competent public speakers, write well at a level expected in business, think efficiently and critically about business challenges and have a useful personal code of ethics to shape their actions and decisions. No student may repeat course for credit.",3 units,None
MGP,Management; Working Professional (MGP),MGP 269,Machine Learning with Python,"Introduction to machine learning methods covering association rules, clustering, classification, and numeric prediction. Hands-on machine learning skills with Python. Big data technologies. Business applications.",3 units,Consent of instructor.
MGP,Management; Working Professional (MGP),MGP 270,Corporate Financial Reporting,"Analyzes and evaluates contemporary issues in financial reporting and develops implications of those issues for business decision makers, investment managers, and accounting policymakers.",3 units,"MGT 200A, MGP 200A, MGB 200A"
MGP,Management; Working Professional (MGP),MGP 271,Strategic Cost Management,"Theoretical frameworks and associated techniques for using organizational design and cost management to achieve a sustainable, profitable cost structure. Topics include: target costing, process design for low cost, total cost of ownership, cost of customers, implementing structural change, and incentives.",3 units,"MGT 202A, MGP 202A, MGV 202AV"
MGP,Management; Working Professional (MGP),MGP 272,Evaluation of Financial Information,"Studies how investors, creditors, others use accounting and other information in making rational investment, lending decisions. Emphasis is placed on the analysis of financial information in a variety of contexts. Where applicable, recent research in finance and economics is discussed.",3 units,"MGT 200A, MGB 200A, MGP 200A"
MGP,Management; Working Professional (MGP),MGP 273,Accounting & Reporting for Government Nonprofit Entities,"Concepts, methods, and uses of accounting and financial reporting by governmental and nonprofit entities. Introduction to budgeting and performance evaluation, and accounting for entities such as hospitals, universities, and welfare agencies.",3 units,None
MGP,Management; Working Professional (MGP),MGP 274,Corporate Governance,"Discusses how corporations can better operate in the interests of shareholders and public. Directly relevant to managers, consultants in compensation and incentives, staff working on mergers and acquisitions, corporate regulators, shareholders rights activists, and board members.",3 units,Full-time MBA students or consent of instructor.
MGP,Management; Working Professional (MGP),MGP 276,"Real Estate, Finance & Development","Focus on single family, attached, detached, multi-family, and light commercial development. Study factors that make up successful real estate developments. Consider financial aspects involved in land acquisition, land development, construction, and project lending.",3 units,"MGT 205, MGB 205, MGP 205, MGP 201A, MGB 201A, MGT 201A"
MGP,Management; Working Professional (MGP),MGP 281,Systems Analysis & Design,"Design and specification of computer-based information systems. Applications systems development life cycle, use requirements and feasibility assessment, logical and physical design, program development and testing, conversion and implementation.",3 units,None
MGP,Management; Working Professional (MGP),MGP 282,Supply Chain Management,"Matching supply with demand is a primary challenge for a firm: excess supply is too costly, inadequate supply irritates customers. Matching supply to demand is easiest when a firm has a flexible supply process, but flexibility is generally expensive.",3 units,"MGT 203A, MGB 203A, MGP 203A"
MGP,Management; Working Professional (MGP),MGP 284,Applied Linear Models for Management,"Covers regression, analysis of variance, and multivariate analysis. Topics will focus on applications to management and policy problems.",3 units,None
MGP,Management; Working Professional (MGP),MGP 285,Time Series Analysis & Forecasting,"Considers application of time series methods to evaluation and forecasting problems. Covers univariate and multivariate ARIMA models and transfer function models. Applications will be in such areas as economics, finance, budgeting, program evaluation, and industrial process control.",3 units,"MGP 203B, MGT 203B, MGB 203B"
MGP,Management; Working Professional (MGP),MGP 286,Telecommunications & Computer Networks,Communication system components; common carrier services; design and control of communications networks; network management and distributed environment; local area networks; data security in computer networks.,3 units,MGP 280.
MGP,Management; Working Professional (MGP),MGP 287,Business Database & Database Marketing,"Practical introduction to fundamental principles of database management systems and database marketing. Database design. SQL queries. Concepts of database marketing, data warehouse, data visualization and big data analytics.",3 units,None
MGP,Management; Working Professional (MGP),MGP 290,Topics in General Management,"Advanced topics in general management. Varied topics to cover more extensively issues discussed in MGT 201A and MGT 201B, or current business interest topics in fields of business writing, business communications, development, or workplace processes.",3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 291,Topics in Organizational Behavior,"Advanced topics in social psychology and sociology of organizations. Varied topics to cover more extensively issues discussed in MGP 201A and MGP 201B, or current business interest topics in fields of organization design, strategy, development, or workplace processes.",3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 292,Topics in Finance,Contemporary and emerging issues in finance. Application of modern techniques of finance to business problems. Use of appropriate electronic database and research techniques.,3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 293,Topics in Marketing,"Advanced topics in marketing, which may include marketing research, new product development, brand management, pricing, distribution management, service marketing, hitech marketing, advertising, sales promotions, marketing through the Web.",3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 294,Topics in Accounting,Contemporary and emerging issues in financial management accounting. Application of modern techniques of evaluation and analysis of financial information. Use of appropriate electronic database and research techniques.,3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 295,Topics in Information Technology,Applications of information technology to management and management of information technology. Adaptation to the dynamic nature of the field.,3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 296,Topics in Technology Management,"Cyclical nature of innovation and technological change, features of innovative firms and industries, national innovation systems, and impact of information technologies on innovation processes.",3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 297,Topics in International Management,"Broader environment in which U.S. firms and their foreign competitors operate. Integration of material from other topics courses (marketing, strategy, finance, accounting, information technology, technology management) into the international setting.",3 units,Completion of all first-year graduate courses at the Graduate School of Management or the equivalent.
MGP,Management; Working Professional (MGP),MGP 298,Directed Group Study,Directed group study.,1-5 units,Consent of instructor.
MGP,Management; Working Professional (MGP),MGP 299,Individual Study,Individual study.,1-12 units,Consent of instructor.
MGP,Management; Working Professional (MGP),MGP 400A,Financial Accounting,"Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation’s operations.",4 units,None
MGP,Management; Working Professional (MGP),MGP 400AY,Financial Accounting,"Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation’s operations.",4 units,None
MGP,Management; Working Professional (MGP),MGP 401A,The Individual & Group Dynamics,"Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",4 units,None
MGP,Management; Working Professional (MGP),MGP 401AY,Individual & Group Dynamics,"Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",4 units,None
MGP,Management; Working Professional (MGP),MGP 401B,Organizational Strategy & Structure,"Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",4 units,None
MGP,Management; Working Professional (MGP),MGP 401BY,Organizational Strategy & Structure,"Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",4 units,None
